car_ID,CarName,fueltype,horsepower,peakrpm,citympg,highwaympg,price
1,alfa-romero giulia,gas,111,5000,21,27,13495
2,alfa-romero stelvio,gas,111,5000,21,27,16500
3,alfa-romero Quadrifoglio,gas,154,5000,19,26,16500
4,audi 100 ls,gas,102,5500,24,30,13950
5,audi 100ls,gas,115,5500,18,22,17450
6,audi fox,gas,110,5500,19,25,15250
7,audi 100ls,gas,110,5500,19,25,17710
8,audi 5000,gas,110,5500,19,25,18920
9,audi 4000,gas,140,5500,17,20,23875
10,audi 5000s (diesel),gas,160,5500,16,22,17859.167
11,bmw 320i,gas,101,5800,23,29,16430
12,bmw 320i,gas,101,5800,23,29,16925
13,bmw x1,gas,121,4250,21,28,20970
14,bmw x3,gas,121,4250,21,28,21105
15,bmw z4,gas,121,4250,20,25,24565
16,bmw x4,gas,182,5400,16,22,30760
17,bmw x5,gas,182,5400,16,22,41315
18,bmw x3,gas,182,5400,15,20,36880
19,chevrolet impala,gas,48,5100,47,53,5151
20,chevrolet monte carlo,gas,70,5400,38,43,6295
21,chevrolet vega 2300,gas,70,5400,38,43,6575
22,dodge rampage,gas,68,5500,37,41,5572
23,dodge challenger se,gas,68,5500,31,38,6377
24,dodge d200,gas,102,5500,24,30,7957
25,dodge monaco (sw),gas,68,5500,31,38,6229
26,dodge colt hardtop,gas,68,5500,31,38,6692
27,dodge colt (sw),gas,68,5500,31,38,7609
28,dodge coronet custom,gas,102,5500,24,30,8558
29,dodge dart custom,gas,88,5000,24,30,8921
30,dodge coronet custom (sw),gas,145,5000,19,24,12964
31,honda civic,gas,58,4800,49,54,6479
32,honda civic cvcc,gas,76,6000,31,38,6855
33,honda civic,gas,60,5500,38,42,5399
34,honda accord cvcc,gas,76,6000,30,34,6529
35,honda civic cvcc,gas,76,6000,30,34,7129
36,honda accord lx,gas,76,6000,30,34,7295
37,honda civic 1500 gl,gas,76,6000,30,34,7295
38,honda accord,gas,86,5800,27,33,7895
